#RPLIDAR SCAN DATA
#COUNT=201
#Angule	Distance	Quality
1.2030 1526.5 60
2.4335 1528.5 60
3.6694 1529.0 60
4.8724 1530.5 60
6.1523 1534.0 60
7.3389 1534.8 60
8.5913 1540.0 60
9.8108 1550.0 60
10.9973 1555.5 60
12.2607 1565.0 60
13.4528 1570.5 60
14.7491 1583.8 60
15.9192 1593.3 60
17.1387 1609.3 60
18.4021 1622.0 60
19.6051 1628.5 60
20.8081 1646.8 60
22.0441 1666.8 60
23.3075 1672.8 60
24.5105 1693.3 60
25.7300 1715.5 60
29.5313 1569.8 60
30.8276 1516.0 60
32.0416 1520.8 60
33.0579 1853.5 60
34.2938 1882.8 60
35.5737 1910.8 60
36.7603 1942.3 60
38.0292 1966.0 60
39.2487 1996.3 60
40.4681 2042.0 60
41.6821 2075.5 60
42.8741 2127.3 60
44.1211 2169.8 60
45.3241 2219.8 60
46.5271 2272.5 60
47.7795 2321.5 60
48.9990 2380.8 60
50.2295 2448.3 60
51.4325 2506.5 60
52.6685 2476.8 60
53.9209 2444.3 60
55.1678 2387.3 60
56.4038 2349.3 60
57.6672 2282.3 48
60.1996 2222.5 60
61.4685 2213.8 60
62.6715 2200.3 60
63.9185 2168.5 60
65.1874 2153.0 60
66.4014 2141.8 60
67.6538 2125.5 60
68.9337 2096.0 60
70.1532 2077.3 60
71.3727 2064.0 60
72.6196 2050.8 60
73.9050 2045.0 60
75.1355 2016.0 60
76.3385 2045.3 60
77.5745 2042.5 60
78.8269 2038.0 60
80.1068 2023.0 60
81.2933 2020.3 60
82.5623 2010.5 60
83.7762 2007.8 60
85.0452 1995.5 60
86.2921 1993.0 60
87.5116 1992.3 60
88.7311 1992.3 60
89.9835 1992.5 60
91.2140 1993.8 60
92.4500 1997.5 60
93.7134 1995.8 60
94.9219 2009.0 60
96.2018 2019.8 60
97.4213 2022.0 60
98.6353 2038.5 60
99.8877 2043.5 60
101.1072 2047.3 60
102.3541 2053.8 60
103.5736 2070.5 60
104.8425 2079.8 60
106.0291 2100.8 60
111.1047 343.8 60
112.8735 319.3 60
113.6700 299.8 60
115.8398 279.3 60
117.0593 264.8 60
118.8281 250.0 60
121.6846 237.8 60
122.9205 224.8 60
124.1675 214.5 60
125.4034 206.3 60
126.6229 198.3 60
128.1061 191.0 60
129.1058 183.3 60
130.3253 177.8 60
132.0612 171.3 60
133.2916 166.8 60
134.5441 162.3 60
135.7635 158.0 60
137.0105 153.5 60
138.2300 156.8 60
218.7323 158.8 60
219.9792 150.5 60
222.4512 154.0 60
226.1700 164.8 60
228.6530 171.3 60
229.3890 175.8 60
231.8555 184.5 60
237.9968 213.8 60
238.1671 219.3 60
252.5592 409.5 60
256.1243 403.0 60
257.5745 400.5 60
258.8873 399.0 60
260.1837 398.3 60
261.1560 395.5 60
262.5128 395.5 60
263.7158 394.8 60
264.9188 393.8 60
266.2482 393.3 60
267.5116 393.5 60
268.5608 393.3 60
269.7144 393.3 60
271.3568 393.3 60
272.5928 393.8 60
273.7958 394.3 60
274.7021 395.0 60
275.9985 396.5 60
277.4487 397.0 60
278.3386 399.3 60
279.5416 400.5 60
280.8270 403.5 60
282.1674 405.5 60
283.2330 407.0 60
284.5459 409.5 60
285.6226 411.8 60
286.9519 415.5 60
288.0286 420.3 60
289.1821 422.8 60
290.4950 426.0 60
291.7804 430.8 60
292.9504 436.0 60
294.0601 441.3 60
295.2960 446.8 60
296.5265 451.8 60
297.8119 457.3 60
298.7183 461.3 60
300.2014 468.0 60
301.4044 475.8 60
302.5305 480.3 60
303.7006 488.8 60
304.8267 498.8 60
306.1066 504.3 60
307.2327 514.5 60
308.2764 524.3 60
309.5453 532.3 60
310.5780 546.0 60
311.9183 555.5 60
312.9950 566.5 60
314.2474 580.0 60
315.4999 595.0 60
316.6370 609.8 60
317.6367 623.8 60
318.9990 640.5 60
320.1855 658.0 60
321.1688 680.0 60
322.4487 701.5 60
323.6682 721.5 60
324.7449 745.3 60
326.0138 773.5 60
327.2168 800.5 60
328.3594 829.0 60
329.4360 864.3 60
330.7159 900.3 60
331.7926 940.5 60
333.0286 980.3 60
334.1821 1023.5 60
335.3412 1083.0 60
336.4838 1134.8 60
337.6538 1198.5 60
338.8733 1269.5 60
340.0104 1348.0 60
341.2134 1432.0 60
342.3230 1535.0 60
343.5754 1575.8 60
344.7784 1567.0 60
346.0583 1559.0 60
347.3273 1548.8 60
348.5138 1544.5 60
349.8102 1541.8 60
351.0297 1535.0 60
